city,population,area,gdp_billions,avg_temp_c,elevation_m
London,9000000,1572,801.0,11.3,11
Paris,2161000,105,709.0,12.1,35
Tokyo,13960000,2194,1080.0,15.4,40
New York,8336000,783,1210.0,12.9,10
Los Angeles,3979000,1302,710.0,18.7,71
Berlin,3769000,891,147.0,9.7,34
Sydney,5312000,12368,180.0,17.7,25
Mumbai,20667000,603,209.0,27.2,14
Beijing,21540000,16411,522.0,13.1,43
Cairo,21750000,3085,107.0,22.0,23
São Paulo,22430000,1521,430.0,19.8,760
Toronto,2930000,630,200.0,7.3,76
Dubai,3331000,4114,102.0,28.2,5
Singapore,5850000,734,397.0,27.5,15
Mexico City,9209000,1485,411.0,16.0,2240
Istanbul,15460000,5343,236.0,14.1,100
Seoul,9776000,605,779.0,12.5,38
Buenos Aires,3054000,203,97.0,17.8,25
Lagos,14800000,1171,75.0,27.1,41
Nairobi,4922000,696,45.0,18.5,1795
